title,genre,description,poster_url
The Matrix,Action,"A hacker discovers reality is a simulation.","https://m.media-amazon.com/images/I/51EG732BV3L._AC_.jpg"
Inception,Sci-Fi,"A thief steals secrets through dream-sharing technology.","https://m.media-amazon.com/images/I/81p+xe8cbnL._AC_SL1500_.jpg"
The Lion King,Animation,"A young lion prince flees after his father's death.","https://m.media-amazon.com/images/I/71rZyj1t7GL._AC_SY679_.jpg"
Forrest Gump,Drama,"The life journey of a man with a big heart.","https://m.media-amazon.com/images/I/61oU5aV9lLL._AC_SY679_.jpg"
Interstellar,Sci-Fi,"A team travels through a wormhole to save humanity.","https://m.media-amazon.com/images/I/71n58YfO5eL._AC_SY679_.jpg"
Titanic,Romance,"A romance blooms on the ill-fated Titanic.","https://m.media-amazon.com/images/I/71rNJQ2g-EL._AC_SY679_.jpg"
The Dark Knight,Action,"Batman faces the Joker in a battle for Gotham.","https://m.media-amazon.com/images/I/71pox4HhZGL._AC_SY679_.jpg"
Frozen,Animation,"A princess must stop her sister's magical winter.","https://m.media-amazon.com/images/I/61T5ZgscsBL._AC_SY679_.jpg"
Avengers: Endgame,Action,"The Avengers try to reverse the Snap.","https://m.media-amazon.com/images/I/81ExhpBEbHL._AC_SY679_.jpg"
Coco,Animation,"A boy journeys to the Land of the Dead.","https://m.media-amazon.com/images/I/81MQ+0rC0LL._AC_SY679_.jpg"
